id,name,rank,rankPoints,wins,games,winRatio,averageDamage,kills,killDeathRatio,averageRank,grade,grade2
account.3f79c50389bc43c5ad934d3d70adf1c2,Twitch_todol,1,7726,397,1789,0.22191168,397,6062,4.348637,20.387926,1,1
account.b595b519e3a24a4ca9913f7b48905a77,twitch_Mongtenna,2,7391,307,1808,0.16980088,401,6112,4.06383,25.689713,1,1
account.dd94e8c15eac442a8954c4dd1375dae9,eeeeeeeeeeeeeeQ,3,7171,271,1194,0.22696817,310,3189,3.4475675,14.907035,1,1
account.f856ae9ed09e44aba7afb7c98f6a0baf,QQMQQ_,4,7035,357,835,0.42754492,600,4488,9.311203,9.871857,1,1
account.ce37497cea794b8b9df7334aa5cc1d29,CSkiller-007,5,7035,161,1312,0.12271342,344,3709,3.2224152,20.772865,1,1
account.cb6af943e4ec427e93e21b68f51da378,Qun-376023803-fz,6,6960,365,1007,0.36246276,372,3065,4.737249,13.854022,1,1
account.38aeda2df88a4423a2172f33bed3de68,mdy908713,7,6944,102,1909,0.053431116,265,4046,2.236595,38.960712,1,1
account.d7e6ca9144be48449e2e2f9e5f07e294,Kemal_SunaL,8,6912,102,1413,0.072186835,274,3041,2.3143075,30.431705,1,1
account.7c8dc4e801db48e59e9b54ebf7ffe698,huya-10291639,9,6902,185,1195,0.15481171,410,4216,4.1618953,26.12385,1,1
account.52aa8c14e05c45eea359fe62c619fc71,2218854316yy,10,6884,63,1325,0.04754717,107,1124,0.88994455,15.939623,1,1
account.d51dd55fab8f4bc6bcb6e648232b1df0,kesinisb,11,6875,63,1983,0.031770047,297,4450,2.3177083,43.09279,1,1
account.a50bec063c7d4bf0b0f9ec87cef9f68f,DouYu--6346455,12,6830,193,1362,0.14170338,390,4507,3.855432,34.641705,1,1
account.c2da0efb32654edeab6b7fbacdd1b7ab,IMBatMan-Lxy,13,6770,6,3306,0.001814882,131,3627,1.0990909,51.115246,1,1
account.1d61584f5c81434ba4d5344d55a55b9f,edisonxianfeng,14,6758,156,851,0.18331374,299,1917,2.7503586,16.54524,1,1
account.dd29b1eb04ed47d79081167ebfacad1e,thenajat,15,6724,66,1587,0.0415879,226,2947,1.9349967,36.977314,1,1
account.8833c74411ce4fbda0b357380a6c6760,Neeeeeeeeeeeee,16,6724,65,1428,0.04551821,308,4146,3.0373626,38.011204,1,1
account.de1227b7eaaf42d7aaed1861450de71d,ninggang1976,17,6704,3,2089,0.0014360938,126,1735,0.8317354,35.616085,1,1
account.80ae1f45a1ba4ad88927cffe3f24ec48,AICHI-PUTAO,18,6684,74,1569,0.0471638,282,3480,2.326203,36.0529,1,1
account.a0f26b340f774cc684c69ba28c16806b,GIA7777777,19,6681,130,1282,0.101404056,339,3713,3.2147186,38.336975,1,1
account.1f6d2128c4b342cfa2b1bbe22cb00015,Min-m4a1,20,6679,112,1471,0.07613868,321,4077,3.0,38.725357,1,1
account.f034b7d1574b410d88a187e3060ed82e,Ray2022,21,6676,22,4326,0.0050855293,151,5408,1.2562137,55.257282,1,1
account.257184f365594932a079ab0f451f406d,carima,22,6631,58,1390,0.04172662,260,2850,2.1364317,38.26403,1,1
account.4038c3dd77de408dbfcbe747bcc89ca7,longshadadui,23,6631,40,1360,0.029411765,219,2060,1.560606,29.415442,1,1
account.8f733b5eac6a444eb1244a5be50372e3,Ha_noJI_4apJIuka,24,6598,55,1344,0.04092262,279,2856,2.2139535,34.749256,1,1
account.d7c78b929a0f4da5a3e4260e3bc8242f,meiyumuxiaoOvO,25,6570,158,1471,0.107409924,406,5126,3.8951368,48.088375,1,1
account.a2465801e62143b3b1fca6cd29949889,NJHunter,26,6565,104,895,0.11620112,322,2372,2.9987357,26.165363,1,1
account.336af7f6f0344dbc8c35516a74cbed14,laochazatan,27,6537,48,1010,0.047524754,195,1468,1.5228215,25.49901,1,1
